Country Name,Country Code,2017 GDP per capita
Estonia,EST,19704.65504
Ethiopia,ETH,767.5634778
European Union,EUU,33723.2706
Fragile and conflict affected situations,FCS,1608.798658
Finland,FIN,45703.32787
Fiji,FJI,5589.388833
France,FRA,38476.65864
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,3187.556848
Gabon,GAB,7413.795207
United Kingdom,GBR,39720.44343
Georgia,GEO,4057.286081
Ghana,GHA,2046.109986
Gibraltar,GIB,
Guinea,GIN,823.4937155
"Gambia, The",GMB,709.077158
Guinea-Bissau,GNB,723.6094119
Equatorial Guinea,GNQ,9697.630234
Greece,GRC,18613.42387
Grenada,GRD,10451.02988
Greenland,GRL,
Guatemala,GTM,4470.989572
Guam,GUM,35675.79417
Guyana,GUY,4655.144448
High income,HIC,41214.28084
"Hong Kong SAR, China",HKG,46193.61452
Honduras,HND,2480.125929
Heavily indebted poor countries (HIPC),HPC,970.6319121
Croatia,HRV,13382.71985
Haiti,HTI,765.6839246
Hungary,HUN,14224.84646
IBRD only,IBD,6043.385053
IDA & IBRD total,IBT,4846.560308
IDA total,IDA,1325.647121
IDA blend,IDB,1734.022521
Indonesia,IDN,3846.864323
IDA only,IDX,1124.523563
Isle of Man,IMN,
India,IND,1942.097401
Not classified,INX,
Ireland,IRL,69330.69015
"Iran, Islamic Rep.",IRN,5593.853783
Iraq,IRQ,5017.968065
Iceland,ISL,70056.87339
Israel,ISR,40270.25135
Italy,ITA,31952.97592
Jamaica,JAM,5114.041081
Jordan,JOR,4129.751664
Japan,JPN,38428.09732
Kazakhstan,KAZ,9030.383889
Kenya,KEN,1594.834926
Kyrgyz Republic,KGZ,1219.824048
Cambodia,KHM,1384.423187
Kiribati,KIR,1594.29287
St. Kitts and Nevis,KNA,17924.06546
"Korea, Rep.",KOR,29742.83886
Kuwait,KWT,29040.36371
Latin America & Caribbean (excluding high income),LAC,8350.108418
Lao PDR,LAO,2457.377414
Lebanon,LBN,8808.589448
Liberia,LBR,694.3195828
Libya,LBY,5978.042926
St. Lucia,LCA,9715.194786
Latin America & Caribbean,LCN,9274.781581
Least developed countries: UN classification,LDC,1071.438079
Low income,LIC,785.5817826
Liechtenstein,LIE,
Sri Lanka,LKA,4073.736519
Lower middle income,LMC,2192.31892
Low & middle income,LMY,4662.155413
Lesotho,LSO,1154.444246
Late-demographic dividend,LTE,8982.239
Lithuania,LTU,16680.6781
Luxembourg,LUX,104103.0367
Latvia,LVA,15594.28602
"Macao SAR, China",MAC,80892.82133
St. Martin (French part),MAF,
Morocco,MAR,3007.242877
Monaco,MCO,
Moldova,MDA,2289.877719
Madagascar,MDG,449.7223819
Maldives,MDV,11151.06921
Middle East & North Africa,MEA,7372.265034
Mexico,MEX,8910.333177
Marshall Islands,MHL,3843.119884
Middle income,MIC,5173.860153
"Macedonia, FYR",MKD,5414.614823
Mali,MLI,827.0064008
Malta,MLT,26903.82452
Myanmar,MMR,1256.660675
Middle East & North Africa (excluding high income),MNA,3791.753562
Montenegro,MNE,7782.83979
Mongolia,MNG,3717.473389
Northern Mariana Islands,MNP,28888.00232
Mozambique,MOZ,426.2219619
Mauritania,MRT,1136.764591
Mauritius,MUS,10490.50397
Malawi,MWI,338.4844303
Malaysia,MYS,9951.544153
North America,NAC,58070.06614
Namibia,NAM,5230.771726
New Caledonia,NCL,
Niger,NER,378.0592523
Nigeria,NGA,1968.425523
Nicaragua,NIC,2221.806445
Netherlands,NLD,48223.15549
Norway,NOR,75504.56626
Nepal,NPL,849.0110426
Nauru,NRU,8343.827999
New Zealand,NZL,42940.57829
OECD members,OED,38151.36194
Oman,OMN,15668.36663
Other small states,OSS,13169.0818
Pakistan,PAK,1547.853414
Panama,PAN,15196.39734
Peru,PER,6571.928645
Philippines,PHL,2988.952703
Palau,PLW,13338.09655
Papua New Guinea,PNG,2488.899697
Poland,POL,13863.17788
Pre-demographic dividend,PRE,1432.454235
Puerto Rico,PRI,
"Korea, Dem. People\'92s Rep.",PRK,
Portugal,PRT,21136.29721
Paraguay,PRY,5823.766137
West Bank and Gaza,PSE,3094.725747
Pacific island small states,PSS,3995.446872
Post-demographic dividend,PST,42526.45314
French Polynesia,PYF,
Qatar,QAT,63249.42243
Romania,ROU,10817.83379
Russian Federation,RUS,10743.09659
Rwanda,RWA,748.2920943
South Asia,SAS,1842.255349
Saudi Arabia,SAU,20849.29137
Sudan,SDN,2898.549346
Senegal,SEN,1329.304228
Singapore,SGP,57714.29663
Solomon Islands,SLB,2132.115068
Sierra Leone,SLE,499.5291033
El Salvador,SLV,3889.308769
San Marino,SMR,48888.02517
Somalia,SOM,478.3441749
Serbia,SRB,5900.038108
Sub-Saharan Africa (excluding high income),SSA,1572.338434
South Sudan,SSD,
Sub-Saharan Africa,SSF,1573.607916
Small states,SST,11946.58496
Sao Tome and Principe,STP,1921.284473
Suriname,SUR,5317.389539
Slovak Republic,SVK,17604.95098
Slovenia,SVN,23597.29173
Sweden,SWE,53442.00828
Eswatini,SWZ,3242.751065
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,15629.30594
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,
Chad,TCD,662.5001146
East Asia & Pacific (IDA & IBRD countries),TEA,7201.594243
Europe & Central Asia (IDA & IBRD countries),TEC,8487.002958
Togo,TGO,610.1517301
Thailand,THA,6595.004125
Tajikistan,TJK,801.0508713
Turkmenistan,TKM,6586.625863
Latin America & the Caribbean (IDA & IBRD countries),TLA,9111.807358
Timor-Leste,TLS,2279.253204
Middle East & North Africa (IDA & IBRD countries),TMN,3799.867898
Tonga,TON,3959.079757
South Asia (IDA & IBRD),TSA,1842.255349
Sub-Saharan Africa (IDA & IBRD countries),TSS,1573.607916
Trinidad and Tobago,TTO,16126.37095
Tunisia,TUN,3464.41689
Turkey,TUR,10546.15256
Tuvalu,TUV,3549.974741
Tanzania,TZA,936.330768
Uganda,UGA,606.4684535
Ukraine,UKR,2639.824326
Upper middle income,UMC,8610.652409
Uruguay,URY,16245.59837
United States,USA,59531.66196
Uzbekistan,UZB,1533.852038
St. Vincent and the Grenadines,VCT,7145.076837
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,2342.244003
Vanuatu,VUT,3123.614591
World,WLD,10721.60885
Samoa,WSM,4280.838915
Kosovo,XKX,3957.441819
"Yemen, Rep.",YEM,1106.803906
South Africa,ZAF,6151.077955
Zambia,ZMB,1513.276316
Zimbabwe,ZWE,1333.395663}
